"I",14995102,"2016-10-04","AAAAAAAAAAADZTI",84.24,115.65,46.21,61821252
"I",14996787,"2017-04-12","AAAAAAAAAAADTKT",434.45,579.63,427.36,811414193
"I",15000962,"2016-11-18","AAAAAAAAAAADGVP",983.10,1106.55,811.34,720429696
"I",15003465,"2016-03-17","AAAAAAAAAAACKLB",958.16,1206.38,511.07,818580205
"I",15005710,"2017-02-26","AAAAAAAAAAACQXK",686.76,922.60,343.82,345863700
"I",15006337,"2016-01-07","AAAAAAAAAAAECFY",680.33,869.34,480.37,981731034
"I",15006823,"2016-10-04","AAAAAAAAAAABVWA",496.87,599.71,299.74,382822071
"I",15007374,"2016-01-28","AAAAAAAAAAACBHQ",639.73,748.73,330.68,632461722
"I",15012713,"2016-03-17","AAAAAAAAAAAAXBS",341.32,382.82,216.92,125370515
"I",15013964,"2016-01-28","AAAAAAAAAAABZZP",576.23,579.12,337.53,96699995
"I",15017149,"2017-04-12","AAAAAAAAAAAAYOI",843.96,1046.95,441.28,54376188
"I",15021093,"2017-05-03","AAAAAAAAAAAAONY",339.35,391.28,324.15,938986761
"I",15022243,"2016-09-05","AAAAAAAAAAABBHA",634.65,734.27,631.16,969273724
"I",15026570,"2016-06-27","AAAAAAAAAAABRUB",732.96,841.35,562.53,731482279
"I",15027022,"2017-06-23","AAAAAAAAAAACBMI",808.86,827.29,634.98,807923813
"I",15027899,"2017-04-06","AAAAAAAAAAAECZV",444.23,611.90,313.04,146301557
"I",15028994,"2016-03-17","AAAAAAAAAAADVQZ",254.77,305.50,186.75,690594220
"I",15033855,"2015-08-15","AAAAAAAAAAACBEV",559.38,563.52,394.80,425207407
"I",15035653,"2016-03-18","AAAAAAAAAAACDKC",605.17,644.98,458.37,275418506
"I",15039158,"2016-11-18","AAAAAAAAAAADMBR",525.11,711.79,278.01,857814821
"I",15040522,"2016-06-27","AAAAAAAAAAABWVP",565.10,587.85,554.13,947509480
"I",15040790,"2016-11-11","AAAAAAAAAAACBVH",291.13,348.15,242.51,191803732
"I",15040883,"2016-05-22","AAAAAAAAAAAAZEB",155.88,162.68,122.06,834748225
"I",15045784,"2016-08-23","AAAAAAAAAAABQLO",347.51,492.71,341.10,20784449
"I",15048438,"2016-05-22","AAAAAAAAAAABJBX",148.78,175.56,76.19,913564431
"I",15048967,"2016-11-19","AAAAAAAAAAABPAL",624.80,889.33,501.97,517549715
"I",15050482,"2017-05-04","AAAAAAAAAAABOYT",105.07,124.71,99.26,39984360
"I",15050573,"2017-05-04","AAAAAAAAAAABZRB",773.86,944.79,435.43,169870933
"I",15050679,"2016-03-18","AAAAAAAAAAACLAG",458.75,665.90,251.29,387713293
"I",15052554,"2016-06-27","AAAAAAAAAAADAWG",470.87,480.57,448.78,139949394
"I",15053700,"2017-05-04","AAAAAAAAAAACVBJ",643.05,866.28,365.65,615148064
"I",15054678,"2016-11-19","AAAAAAAAAAAARYH",212.85,267.59,181.18,253761464
"I",15056844,"2017-06-23","AAAAAAAAAAADUTY",92.52,92.78,60.71,15486479
"I",15059117,"2016-01-08","AAAAAAAAAAABJCN",103.95,115.11,90.15,193581076
"I",15061351,"2017-04-07","AAAAAAAAAAABRUN",170.43,190.51,90.93,878038385
"I",15063304,"2016-05-22","AAAAAAAAAAADLCY",551.22,681.56,484.18,805764302
"I",15063496,"2017-04-13","AAAAAAAAAAAAVTA",923.15,1168.49,762.38,763331079
"I",15063669,"2016-03-09","AAAAAAAAAAAARNM",738.91,963.60,663.95,493403704
"I",15064633,"2017-04-13","AAAAAAAAAAACPEJ",697.09,963.20,655.42,666299346
"I",15073869,"2016-03-09","AAAAAAAAAAAEEEB",774.26,873.03,401.49,385339425
"I",15074929,"2016-06-28","AAAAAAAAAAABJGR",526.46,645.03,387.67,521138661
"I",15075574,"2016-08-23","AAAAAAAAAAABPBA",574.10,748.22,369.78,714300539
"I",15076282,"2016-08-01","AAAAAAAAAAACJKA",708.96,996.05,622.72,512884735
"I",15076688,"2016-02-08","AAAAAAAAAAABXVQ",297.30,445.12,296.73,667666908
"I",15078826,"2016-05-05","AAAAAAAAAAABUDC",439.83,601.67,317.21,938026240
