"I",5276333,1982380,1991183,9532,0
"I",5276602,3052346,3052346,0,3102
"I",5276610,3052478,3052478,0,8044
"I",5276725,3054612,3054612,0,7337
"I",5276811,3042096,3056041,2314,0
"I",5277041,1994988,1994988,0,3628
"I",5277866,11687664,11708911,44,0
"I",5277898,11618300,11709349,2861,0
"I",5278019,10261140,10261140,0,8483
"I",5278061,10261962,10261962,0,2362
"I",5278176,10251426,10263837,9901,0
"I",5278321,10245886,10266225,5476,0
"I",5278347,3059804,3059804,0,9024
"I",5278393,3060462,3060462,0,6018
"I",5278721,3066006,3066006,0,8887
"I",5279007,6016126,6016126,0,5817
"I",5279541,8963916,8978081,663,0
"I",5279922,11517850,11530881,1754,0
"I",5279924,11520056,11530911,7588,0
"I",5280754,7060348,7079555,6383,0
"I",5280855,7081300,7081300,0,2382
"I",5280945,7082844,7082844,0,5098
"I",5281142,3875716,3886943,2041,0
"I",5281309,3883954,3889855,7464,0
"I",5281436,3891918,3891918,0,2386
"I",5281668,7677390,7681917,8756,0
"I",5281699,7682438,7682438,0,330
"I",5281954,11542482,11542482,0,6801
"I",5282128,11545330,11545330,0,2910
"I",5282210,11546474,11546474,0,1607
"I",5282369,7084310,7084310,0,4045
"I",5282460,7085638,7085638,0,9334
"I",5282646,7088686,7088686,0,7582
"I",5282796,7091346,7091346,0,2257
"I",5283212,3073270,3073270,0,9162
"I",5283474,3887170,3895679,2903,0
"I",5283520,3887002,3896567,857,0
"I",5283683,3899588,3899588,0,8511
"I",5283821,4950706,4950706,0,4975
"I",5283996,4935956,4953719,4595,0
"I",5284093,4955336,4955336,0,8979
"I",5284326,250890,250890,0,6379
"I",5284381,246978,251763,1095,0
"I",5284646,246162,256339,890,0
"I",5285027,6013536,6026409,6404,0
"I",5285592,8981244,8981244,0,5539
"I",5285748,8976586,8983459,1691,0
"I",5285943,8956432,8987123,2154,0
"I",5286496,4939660,4957097,9950,0
"I",5286522,4947278,4957519,827,0
"I",5286572,4927332,4958159,5542,0
"I",5286594,4932768,4958515,3966,0
"I",5287010,7068006,7093025,7119,0
"I",5287145,7092118,7095005,203,0
"I",5287395,11661738,11709685,1556,0
"I",5287665,11690896,11713943,6295,0
"I",5288348,6028934,6028934,0,1493
"I",5288520,5992206,6031511,2351,0
"I",5288618,6032950,6032950,0,1857
"I",5288628,6033122,6033122,0,3079
"I",5289140,11553794,11556829,1408,0
"I",5289347,3077598,3077598,0,1221
"I",5289370,3078096,3078096,0,8888
"I",5289454,3067160,3079493,4134,0
"I",5289628,3900316,3900316,0,4699
"I",5289635,3889578,3900535,1516,0
"I",5290034,3897738,3906815,7738,0
"I",5290282,2013188,2013188,0,4056
"I",5290789,7103530,7103530,0,4870
"I",5290890,7083672,7105207,4754,0
"I",5291012,3082902,3082902,0,3991
"I",5291061,3084016,3084016,0,2543
"I",5291161,3086076,3086076,0,9929
"I",5291333,3088594,3088594,0,4261
"I",5291395,3089612,3089612,0,7853
"I",5291697,7108262,7111873,8213,0
"I",5291719,7112288,7112288,0,8068
"I",5291731,7094618,7112447,3272,0
"I",5291748,7105548,7112691,7952,0
"I",5292162,2021898,2021898,0,2945
"I",5292385,3091064,3091064,0,9266
"I",5292428,3086846,3091683,6221,0
"I",5292643,3087852,3095009,6551,0
"I",5292763,3097016,3097016,0,8485
"I",5292766,3097056,3097056,0,367
"I",5292813,11716990,11716990,0,3862
"I",5293080,11711190,11721163,1471,0
"I",5293361,258328,258328,0,6863
"I",5293701,264224,264224,0,4674
"I",5293832,3090888,3099971,939,0
"I",5293992,3102694,3102694,0,1973
"I",5294353,7704278,7704278,0,7794
"I",5294441,7705798,7705798,0,7677
"I",5294947,269290,269290,0,8340
"I",5294957,269480,269480,0,3468
"I",5295089,271722,271722,0,4372
"I",5295120,11546274,11557349,383,0
"I",5295180,11552910,11558453,9218,0
"I",5295197,11558648,11558648,0,9444
"I",5295285,11545372,11560095,5907,0
"I",5295403,11562046,11562046,0,7245
"I",5295641,6032232,6036549,9016,0
"I",5295669,6037052,6037052,0,2206
"I",5295680,6028534,6037207,7322,0
"I",5295708,6037904,6037904,0,1855
"I",5295818,6039884,6039884,0,6948
"I",5295956,6024452,6042087,484,0
"I",5296177,3102472,3108603,8362,0
"I",5296413,3081936,3112379,1009,0
"I",5296427,3112586,3112586,0,1080
"I",5296438,3106696,3112723,9950,0
"I",5296520,6044378,6044378,0,2193
"I",5297002,3899978,3908979,3408,0
"I",5297209,3912896,3912896,0,2702
"I",5297254,3913556,3913556,0,8865
"I",5297623,11681078,11728185,4346,0
"I",5297701,11720862,11729509,2393,0
"I",5297731,11730092,11730092,0,9217
"I",5298396,7088448,7117211,8218,0
"I",5298472,7069756,7118385,9817,0
"I",5298507,7100404,7118985,5727,0
"I",5298775,6052132,6052132,0,5363
"I",5298907,6054094,6054094,0,4612
"I",5298937,6023862,6054511,6008,0
"I",5299129,6051330,6057757,4282,0
"I",5299172,10255672,10266839,6473,0
"I",5299221,10250370,10267741,6404,0
"I",5299296,10267144,10268793,8573,0
